seed,budget,y_true,y_pred,min_cost,pred_cost,regret,rel_regret
131194815,50,aco,aco,11.935469782649283,11.935469782649283,0.0,0.0
153255091,50,ga,ga,55.51630306715309,55.51630306715309,0.0,0.0
127275426,50,ga,ga,22.32924397612679,22.32924397612679,0.0,0.0
10441731,50,ga,ga,38.34191842025758,38.34191842025758,0.0,0.0
636137778,50,sa,sa,75.41848042469445,75.41848042469445,0.0,0.0
33878281,50,ga,ga,57.32609228630717,57.32609228630717,0.0,0.0
107887914,50,aco,aco,93.43592277515442,93.43592277515442,0.0,0.0
29649729,50,ga,ga,37.08126065679289,37.08126065679289,0.0,0.0
18918781,50,ga,ga,142.85175041294966,142.85175041294966,0.0,0.0
187003723,50,aco,aco,35.74603962219016,35.74603962219016,0.0,0.0
259298,50,aco,aco,16.54532165539847,16.54532165539847,0.0,0.0
62341223,50,aco,aco,21.32304860181664,21.32304860181664,0.0,0.0
8546861,50,aco,aco,61.391637144632334,61.391637144632334,0.0,0.0
148298510,50,aco,aco,110.58602789002086,110.58602789002086,0.0,0.0
167416751,50,aco,aco,13.518664391386684,13.518664391386684,0.0,0.0
103350199,50,aco,aco,6.619156760486649,6.619156760486649,0.0,0.0
123385956,50,ga,ga,21.3745466517772,21.3745466517772,0.0,0.0
130596435,50,ga,ga,45.05113197138687,45.05113197138687,0.0,0.0
140160542,50,aco,aco,18.06779869367191,18.06779869367191,0.0,0.0
4737175,50,aco,aco,8.872426532237245,8.872426532237245,0.0,0.0
142005547,50,aco,aco,28.8940375682875,28.8940375682875,0.0,0.0
142264845,50,ga,ga,53.910142693257846,53.910142693257846,0.0,0.0
193286713,50,ga,ga,50.46242557637095,50.46242557637095,0.0,0.0
35852935,50,ga,ga,62.52407069207536,62.52407069207536,0.0,0.0
93606578,50,aco,aco,28.447472169198697,28.447472169198697,0.0,0.0
75016906,50,aco,aco,61.95997949149267,61.95997949149267,0.0,0.0
12466250,50,aco,aco,85.26726316988722,85.26726316988722,0.0,0.0
18928754,50,aco,aco,10.267326201789334,10.267326201789334,0.0,0.0
167456643,50,aco,aco,31.18280402688736,31.18280402688736,0.0,0.0
189746298,50,ga,ga,40.180006106802864,40.180006106802864,0.0,0.0
65093771,50,ga,ga,77.69424925751701,77.69424925751701,0.0,0.0
104816230,50,aco,aco,29.457554018778577,29.457554018778577,0.0,0.0
99730,50,sa,sa,2416.853343332781,2416.853343332781,0.0,0.0
56586802,50,aco,aco,68.48424789320785,68.48424789320785,0.0,0.0
17153560,50,aco,aco,11.163538057586848,11.163538057586848,0.0,0.0
20125514,50,ga,ga,22.00330380946165,22.00330380946165,0.0,0.0
31604437,50,aco,aco,75.45388676253415,75.45388676253415,0.0,0.0
79604486,50,ga,sa,96.90252513384988,140.8306586424929,43.928133508643015,0.45332289791174996
164295202,50,aco,aco,78.55259269122536,78.55259269122536,0.0,0.0
11558707,50,aco,aco,16.57504952622044,16.57504952622044,0.0,0.0
18110968,50,aco,aco,42.947375639182525,42.947375639182525,0.0,0.0
127604535,50,aco,aco,44.0768767381232,44.0768767381232,0.0,0.0
78447618,50,aco,aco,15.363974192989009,15.363974192989009,0.0,0.0
89457810,50,ga,ga,69.81765934125781,69.81765934125781,0.0,0.0
91502275,50,ga,ga,17.747257657748204,17.747257657748204,0.0,0.0
5225852,50,aco,aco,104.96770692085786,104.96770692085786,0.0,0.0
177110507,50,aco,aco,70.95091289353928,70.95091289353928,0.0,0.0
14879716,50,aco,aco,93.9944607823605,93.9944607823605,0.0,0.0
62720197,50,sa,sa,84.91515500515243,84.91515500515243,0.0,0.0
136400721,50,aco,aco,88.77805112608831,88.77805112608831,0.0,0.0
147919536,50,aco,aco,56.57902833439585,56.57902833439585,0.0,0.0
91661843,50,aco,aco,97.58313671354384,97.58313671354384,0.0,0.0
142972928,50,aco,aco,91.40015028422428,91.40015028422428,0.0,0.0
17592372,50,aco,aco,5.112112116333757,5.112112116333757,0.0,0.0
4388120,50,ga,ga,31.947741701264874,31.947741701264874,0.0,0.0
28472915,50,aco,aco,28.84875744504714,28.84875744504714,0.0,0.0
79833865,50,ga,ga,141.8015844752302,141.8015844752302,0.0,0.0
45038068,50,aco,aco,12.30767261932063,12.30767261932063,0.0,0.0
119446621,50,ga,ga,20.965116823860527,20.965116823860527,0.0,0.0
86406072,50,aco,aco,9.597376114922334,9.597376114922334,0.0,0.0
4557661,50,ga,ga,54.45248505608608,54.45248505608608,0.0,0.0
176661722,50,aco,aco,26.52977017417764,26.52977017417764,0.0,0.0
116444748,50,aco,aco,29.810703887149845,29.810703887149845,0.0,0.0
171076842,50,aco,aco,14.883718160992927,14.883718160992927,0.0,0.0
189177837,50,aco,aco,48.24820377625424,48.24820377625424,0.0,0.0
460054490,50,sa,sa,120.60351672802172,120.60351672802172,0.0,0.0
33170198,50,ga,ga,30.978566375502812,30.978566375502812,0.0,0.0
134296418,50,aco,aco,12.137708026556217,12.137708026556217,0.0,0.0
150801733,50,aco,ga,17.46559688403056,28.53393088303785,11.06833399900729,0.6337220578546318
84660797,50,ga,ga,7.319592066067207,7.319592066067207,0.0,0.0
158879863,50,ga,ga,6.741188446438593,6.741188446438593,0.0,0.0
165232664,50,ga,ga,39.8162693990181,39.8162693990181,0.0,0.0
97316534,50,aco,aco,126.81387635754908,126.81387635754908,0.0,0.0
48309212,50,ga,ga,15.359120172506923,15.359120172506923,0.0,0.0
152726522,50,aco,aco,10.704472005643469,10.704472005643469,0.0,0.0
69342269,50,ga,ga,82.59428956072618,82.59428956072618,0.0,0.0
186564911,50,aco,aco,45.63755420030237,45.63755420030237,0.0,0.0
38027049,50,aco,aco,20.49374390987284,20.49374390987284,0.0,0.0
16355720,50,sa,sa,152.61890864822973,152.61890864822973,0.0,0.0
26089368,50,aco,aco,32.1377804828855,32.1377804828855,0.0,0.0
22868089,50,aco,aco,33.99055473751088,33.99055473751088,0.0,0.0
59468999,50,aco,aco,29.95506965710792,29.95506965710792,0.0,0.0
23286955,50,aco,aco,8.514062670156155,8.514062670156155,0.0,0.0
74219066,50,ga,ga,57.5183318456856,57.5183318456856,0.0,0.0
509949409,50,sa,sa,202.4864963890415,202.4864963890415,0.0,0.0
14610445,50,ga,ga,44.892020551394495,44.892020551394495,0.0,0.0
676348914,50,sa,sa,192.41638866575389,192.41638866575389,0.0,0.0
185427989,50,aco,aco,4.624132307862446,4.624132307862446,0.0,0.0
142813360,50,aco,aco,80.99891153469818,80.99891153469818,0.0,0.0
195700179,50,ga,ga,144.10122691202065,144.10122691202065,0.0,0.0
72483764,50,sa,sa,104.3538417957484,104.3538417957484,0.0,0.0
159009512,50,aco,aco,14.630657506843614,14.630657506843614,0.0,0.0
179164945,50,ga,ga,39.97458098316547,39.97458098316547,0.0,0.0
146722776,50,aco,aco,19.2379802898091,19.2379802898091,0.0,0.0
193516092,50,ga,ga,51.05791744304852,51.05791744304852,0.0,0.0
195680233,50,aco,aco,44.1181615187547,44.1181615187547,0.0,0.0
165422151,50,aco,aco,30.20371231937715,30.20371231937715,0.0,0.0
126557370,50,ga,ga,29.26346878192148,29.26346878192148,0.0,0.0
173320767,50,ga,ga,28.27838306306616,28.27838306306616,0.0,0.0
39722459,50,ga,ga,16.709773090387404,16.709773090387404,0.0,0.0
166908128,50,aco,aco,31.11304488216912,31.11304488216912,0.0,0.0
139532243,50,aco,aco,37.09482957370058,37.09482957370058,0.0,0.0
306380533,50,sa,sa,113.39667062507152,113.39667062507152,0.0,0.0
149764541,50,ga,ga,32.20854149092345,32.20854149092345,0.0,0.0
47940211,50,ga,ga,5.765550706955111,5.765550706955111,0.0,0.0
38306293,50,aco,aco,17.711100890730044,17.711100890730044,0.0,0.0
32841089,50,ga,ga,15.2827087876114,15.2827087876114,0.0,0.0
75984287,50,aco,aco,44.26007739304583,44.26007739304583,0.0,0.0
11159787,50,aco,aco,15.715457670857138,15.715457670857138,0.0,0.0
57374669,50,aco,aco,9.158745835062462,9.158745835062462,0.0,0.0
50214055,50,aco,aco,17.770342562254555,17.770342562254555,0.0,0.0
53943957,50,aco,aco,33.62670051677983,33.62670051677983,0.0,0.0
122518305,50,ga,ga,25.91422719093468,25.91422719093468,0.0,0.0
83344361,50,aco,aco,19.04680935635988,19.04680935635988,0.0,0.0
100587678,50,aco,aco,33.75488299426542,33.75488299426542,0.0,0.0
126617208,50,aco,aco,30.493014275553804,30.493014275553804,0.0,0.0
175853909,50,aco,aco,12.499550447580251,12.499550447580251,0.0,0.0
59987595,50,aco,aco,97.45545094724343,97.45545094724343,0.0,0.0
108516213,50,aco,aco,89.50257647343273,89.50257647343273,0.0,0.0
54183309,50,aco,aco,53.81138550441005,53.81138550441005,0.0,0.0
130666246,50,ga,ga,20.8146138814146,20.8146138814146,0.0,0.0
83862957,50,aco,aco,23.74254028678746,23.74254028678746,0.0,0.0
16884289,50,aco,aco,20.347899999810885,20.347899999810885,0.0,0.0
105444529,50,ga,ga,41.379444643316674,41.379444643316674,0.0,0.0
213043226,50,sa,sa,129.38227819621423,129.38227819621423,0.0,0.0
172303521,50,ga,ga,13.412880933389816,13.412880933389816,0.0,0.0
69671378,50,aco,ga,27.930824339352583,28.41478691596084,0.48396257660825626,0.017327185575628956
150003893,50,ga,ga,63.060247668926834,63.060247668926834,0.0,0.0
42674467,50,aco,aco,86.36778037972815,86.36778037972815,0.0,0.0
159328648,50,aco,aco,5.872187612577724,5.872187612577724,0.0,0.0
55270366,50,aco,aco,17.92241909245791,17.92241909245791,0.0,0.0
539698868,50,sa,sa,199.06386065498023,199.06386065498023,0.0,0.0
69222593,50,ga,ga,14.878583859990073,14.878583859990073,0.0,0.0
555835182,50,sa,sa,83.70401278606631,83.70401278606631,0.0,0.0
57205128,50,aco,aco,12.319873897794738,12.319873897794738,0.0,0.0
15727421,50,aco,aco,107.25740357617516,107.25740357617516,0.0,0.0
328739999,50,sa,sa,87.55384629387028,87.55384629387028,0.0,0.0
113043955,50,ga,ga,48.5326300978067,48.5326300978067,0.0,0.0
145276691,50,ga,ga,9.96059418738872,9.96059418738872,0.0,0.0
167626184,50,aco,aco,55.42509412271141,55.42509412271141,0.0,0.0
187871374,50,ga,ga,12.747901804787045,12.747901804787045,0.0,0.0
55898665,50,aco,aco,32.48054088593677,32.48054088593677,0.0,0.0
194254094,50,aco,aco,23.19459278278976,23.19459278278976,0.0,0.0
157613292,50,aco,aco,17.731708562699296,17.731708562699296,0.0,0.0
137098831,50,aco,aco,17.174600721954523,17.174600721954523,0.0,0.0
87951887,50,ga,ga,65.06690170148369,65.06690170148369,0.0,0.0
47022695,50,aco,aco,67.62238821464081,67.62238821464081,0.0,0.0
142105277,50,ga,ga,12.172896529558702,12.172896529558702,0.0,0.0
24094768,50,aco,aco,48.49500966185495,48.49500966185495,0.0,0.0
61373842,50,ga,ga,82.54859689207879,82.54859689207879,0.0,0.0
57254993,50,aco,aco,45.89597698201453,45.89597698201453,0.0,0.0
507705484,50,sa,sa,153.33026769065603,153.33026769065603,0.0,0.0
143321983,50,ga,ga,67.03013274113454,67.03013274113454,0.0,0.0
42604656,50,aco,aco,21.416395866429745,21.416395866429745,0.0,0.0
153075577,50,ga,ga,27.735572989210148,27.735572989210148,0.0,0.0
87533021,50,ga,ga,172.9295070412424,172.9295070412424,0.0,0.0
96039990,50,ga,ga,53.6575645678641,53.6575645678641,0.0,0.0
380639491,50,sa,sa,142.87149536533286,142.87149536533286,0.0,0.0
185138772,50,aco,aco,47.07022594147376,47.07022594147376,0.0,0.0
56646640,50,aco,aco,16.341859557633097,16.341859557633097,0.0,0.0
30118460,50,aco,aco,10.34811018108541,10.34811018108541,0.0,0.0
156775560,50,ga,ga,25.354422005228905,25.354422005228905,0.0,0.0
36969911,50,aco,aco,45.83104375325237,45.83104375325237,0.0,0.0
38984457,50,aco,aco,8.759729790841288,8.759729790841288,0.0,0.0
5335555,50,ga,ga,28.626079154490505,28.626079154490505,0.0,0.0
100238623,50,ga,ga,26.37741378952873,26.37741378952873,0.0,0.0
