true_label,mean,median,p90,p99,max,count
sa,1.4402819507993867,0.0,0.0,2.3538159594910084,707.501126234438,1078
ga,6.232662400571259,0.0,0.0,113.67192575678719,1695.4114246844565,3101
aco,0.19369789213223806,0.0,0.0,2.9552554975236056,314.32682282214057,5000
